key,translation
AnglerQuestText.Quest_Clownfish,"他们为什么叫它们小丑鱼如果它们不是被画得像小丑?当然，它们濒临灭绝，因为僵尸践踏了它们的珊瑚礁，所以这是一项保护任务。

（抓捕位置：海洋）"
AnglerQuestText.Quest_DemonicHellfish,"古代的文字没有给出太多关于冥界鱼类的细节，但他们说那里的岩浆像水一样流动——哪里有水，哪里就有鱼!协会的研究人员推测，如果恶魔生活在那里，那么恶魔鱼可能生活在岩浆海中，如果我们能找到它们的话。

（抓捕位置：洞穴）"
AnglerQuestText.Quest_Derpfish,"Derpling是个科学名字吗?这有点低估了它们的危险性，但在丛林中发现了一种罕见的，无害的水生版本。在寻找假derpling的时候，要小心真正的derpling !

（抓捕位置：丛林地表）"
AnglerQuestText.Quest_Fishron,"有个传说说有个强大的生物叫鱼龙!半猪，半龙，半鱼!它应该在世界上最寒冷的地方冰冻的地下湖泊中游荡，公会很有信心它的存在，他们会给它标价!让我们抓住世界上最强的鱼!

（抓捕位置：地下苔原）"
AnglerQuestText.Quest_InfectedScabbardfish,"我们要找的是一条很长的鱼，看起来像剑鞘，在腐败的黑暗水域中游动!是什么可能导致它呈现出如此奇怪的形状?有一种剑鱼长得像剑吗?

（抓捕位置：腐化之地）"
AnglerQuestText.Quest_Mudfish,"泥鱼曾经很常见，但在公会出现之前，过度捕捞几乎让它们消失了。不过，我们仍然可以在这里找到他们，所以我们或许可以复兴海外的历史人口!

（抓捕位置：丛林）"
AnglerQuestText.Quest_TropicalBarracuda,"梭鱼光滑，有光泽，危险，很少见到，就像银箭!就像银箭，虽然，他们是昂贵的，并不是一个有经验的垂钓者的对手!

（抓捕位置：丛林地表）"
AnglerQuestText.Quest_TundraTrout,"我们正在寻找一种罕见的鳟鱼，这种鳟鱼特别适应寒冷的气候——寒冷到它们把自己包裹在冰里，作为一种天然的盔甲!他们是超级有价值的，无论是研究和作为一种美味!

（抓捕位置：地表苔原）"
AnglerQuestText.Quest_Slimefish,"我昨天看到一条用黏液做的鱼!它不像其他黏液一样浮在水面上，所以它体内的黏液一定是不同的，公会的研究人员对它很感兴趣!

（抓捕位置：地表森林）"
AnglerQuestText.Quest_ScarabFish,"我读过一个古老的故事，关于一条看起来像魔法圣甲虫的鱼!我的线人告诉我还有一些人还活着，如果我们能抓到一个，公会会出高价，我们可能会把他们从灭绝中拯救出来!

（抓捕位置：沙漠）"
AnglerQuestText.Quest_ScorpioFish,"你在沙漠里找到绿洲了吗?公会告诉我，探险家们发现了一条蝎子形状的鱼，它风靡一时!供不应求，所以如果你能给我们找到一条他们会给你合适的价格。只是不要被掐或刺痛——它们很强壮!

（抓捕位置：沙漠）"
AnglerChatter.Chatter_1,啊~~~所有经验丰富的垂钓者在辛苦工作一天后都会喝酒，{Bartender}却不卖给我任何东西!如果你给我带点啤酒来，我就让你摸我的胸!
AnglerChatter.Chatter_2,你好!{PlayerName}!怎么了?
AnglerChatter.Chatter_3,嗯?这些吗?我的乳房吗?我的大奶子?我的超级填充牛奶机?我的紧身毛衣小狗?哈哈，看你的表情~!
AnglerChatter.Chatter_4,如果我有个男孩的名字呢?看得出来我是个女孩，对吧?
AnglerChatter.Chatter_5,想想它们都长这么大了，尽管我只是嘿，那是什么声音?
AnglerChatter.Chatter_6,我们在一起工作不代表我就可以给你看。也许你能帮我签更多的捕鱼合同
AnglerChatter.Chatter_7,嗯，这个地方有点可疑……
AnglerChatter.Chatter_8,{WorldName}到处都是各种稀奇古怪的鱼!
AnglerChatter.Chatter_9,我想知道在我出生之前这里所有的鱼都在哪里。想想我永远无法在书本之外看到它们……
AnglerChatter.Chatter_10,我没有爸爸妈妈，但是…我至少有你，对吧{PlayerName}?
AnglerSpecialText.Party,祝你在派对玩得开心!{PlayerName}!
AnglerSpecialText.Graveyard1,外面有可怕的骷髅!快把我逼疯了!
AnglerSpecialText.Graveyard2,这里没有鬼鱼…有吗?
AnglerSpecialText.Windy1,风这么大，小心你的钩子!{Nurse}说下次我卡住她就不拔了!
AnglerSpecialText.Windy2,你能帮我把头发盘起来吗?我想钓鱼，但风一直吹到我脸上…
AnglerSpecialText.Storm1,没有什么比一场大雷雨更能让鱼兴奋的了!只要别带金属棒就行了!
AnglerSpecialText.Storm2,激动人心的天气，是吗?我的头发乱糟糟的，不过我们还是先去钓鱼，然后再洗个澡吧!
AnglerSpecialText.Rain1,啊，我的衬衫湿透了……让我把这个脱下来…
AnglerSpecialText.Rain2,雨水把所有的鱼都带到了水面，所以现在是个好时机!出去抓几个大的吧!
AnglerSpecialText.BloodMoonFishing1,水里有这么多血……鲨鱼一定疯了。
AnglerSpecialText.BloodMoonFishing2,当水变成血淋淋的时候，你有没有想过是不是有小鱼住在你体内?
TownNPCMood_Angler.Content,太好了!鱼上钩了!
TownNPCMood_Angler.NoHome,外面有点风，你不觉得吗?我可以找个地方住…
TownNPCMood_Angler.FarFromHome,呃，看起来我有点迷路了…你能带我回家吗?
TownNPCMood_Angler.DislikeCrowded,这里人越来越多了，不是吗?这些人一直在吓唬鱼!
TownNPCMood_Angler.HateCrowded,我们挤得像沙丁鱼一样女孩就不能单独呆一会儿吗?!
TownNPCMood_Angler.LoveSpace,我喜欢所有的空间!足够你我住的地方…我们的鱼!
TownNPCMood_Angler.LikeBiome,呵呵，海里总有更多的鱼~!
TownNPCMood_Angler.LoveBiome,我爱{BiomeName}。
TownNPCMood_Angler.DislikeBiome,这里，呃…有很多的沙子，但是{BiomeName}却没有很多的水，你知道吗?
TownNPCMood_Angler.HateBiome,谁会住在{BiomeName}?我很想钓鱼，但不是我自己.
TownNPCMood_Angler.LikeNPC,{NPCName}是专业的!我喜欢尊重努力工作的人，尽管我只是个孩子!
TownNPCMood_Angler.LoveNPC,我非常喜欢和{NPCName}在一起。
TownNPCMood_Angler.DislikeNPC,我不喜欢{NPCName}。
TownNPCMood_Angler.HateNPC,下次{NPCName}再叫我"小妞"的时候，我就把鱼头塞到他的枕头下面!
TownNPCMood_Angler.LikeNPC_Princess,{NPCName}太漂亮了!和我这个年纪的女孩在一起真好!
